D:\OneDrive\Particular\UFPR\SimulaçãoLogistica\TP01\TP01Final\venv\Scripts\python.exe D:/OneDrive/Particular/UFPR/SimulaçãoLogistica/TP01/TP01Final/main.py
Melhor caminho: [['A', 'B', 0.08], ['B', 'F', 4.83], ['F', 'G', 3.83], ['G', 'Z', 2.41]]
Melhor caminho: [['A', 'C', 3.89], ['C', 'D', 1.67], ['D', 'H', 2.9], ['H', 'J', 2.55], ['J', 'Z', 1.54]]
Melhor caminho: [['A', 'B', 0.31], ['B', 'F', 2.35], ['F', 'G', 3.91], ['G', 'Z', 2.38]]
Melhor caminho: [['A', 'B', 1.14], ['B', 'F', 3.52], ['F', 'G', 5.19], ['G', 'Z', 3.07]]
Melhor caminho: [['A', 'B', 1.75], ['B', 'F', 2.59], ['F', 'G', 5.24], ['G', 'Z', 3.5]]
Melhor caminho: [['A', 'B', 1.32], ['B', 'F', 2.2], ['F', 'G', 5.98], ['G', 'Z', 2.63]]
Melhor caminho: [['A', 'B', 0.91], ['B', 'F', 4.4], ['F', 'G', 3.84], ['G', 'Z', 2.6]]
Melhor caminho: [['A', 'B', 1.85], ['B', 'F', 3.22], ['F', 'G', 5.95], ['G', 'Z', 2.22]]
Melhor caminho: [['A', 'E', 2.55], ['E', 'F', 4.0], ['F', 'G', 3.11], ['G', 'Z', 3.57]]
Melhor caminho: [['A', 'C', 3.98], ['C', 'I', 4.58], ['I', 'L', 1.97], ['L', 'Z', 2.89]]
Melhor caminho: [['A', 'B', 1.62], ['B', 'F', 4.35], ['F', 'G', 3.43], ['G', 'Z', 3.74]]
Melhor caminho: [['A', 'C', 4.82], ['C', 'D', 1.33], ['D', 'K', 4.96], ['K', 'L', 0.9], ['L', 'Z', 1.27]]
Melhor caminho: [['A', 'B', 0.14], ['B', 'F', 5.88], ['F', 'G', 4.99], ['G', 'Z', 3.29]]
Melhor caminho: [['A', 'B', 0.6], ['B', 'F', 3.65], ['F', 'G', 4.45], ['G', 'Z', 3.38]]
Melhor caminho: [['A', 'B', 1.04], ['B', 'F', 3.75], ['F', 'G', 3.68], ['G', 'Z', 3.08]]
Melhor caminho: [['A', 'B', 0.94], ['B', 'F', 4.63], ['F', 'G', 4.25], ['G', 'Z', 3.88]]
Melhor caminho: [['A', 'E', 3.67], ['E', 'H', 6.05], ['H', 'J', 3.75], ['J', 'Z', 1.8]]
Melhor caminho: [['A', 'C', 6.74], ['C', 'I', 3.84], ['I', 'L', 1.49], ['L', 'Z', 1.02]]
Melhor caminho: [['A', 'E', 3.35], ['E', 'H', 2.13], ['H', 'J', 2.79], ['J', 'Z', 2.35]]
Melhor caminho: [['A', 'E', 2.45], ['E', 'F', 2.12], ['F', 'G', 4.88], ['G', 'Z', 2.07]]
Melhor caminho: [['A', 'B', 1.26], ['B', 'F', 2.32], ['F', 'G', 5.5], ['G', 'Z', 3.11]]
Melhor caminho: [['A', 'E', 2.12], ['E', 'H', 6.68], ['H', 'J', 2.63], ['J', 'Z', 2.11]]
Melhor caminho: [['A', 'B', 1.42], ['B', 'F', 3.21], ['F', 'G', 4.78], ['G', 'Z', 2.26]]
Melhor caminho: [['A', 'E', 3.72], ['E', 'H', 6.64], ['H', 'J', 2.72], ['J', 'Z', 2.78]]
Melhor caminho: [['A', 'B', 1.49], ['B', 'F', 5.18], ['F', 'G', 4.04], ['G', 'Z', 3.05]]
Melhor caminho: [['A', 'B', 0.21], ['B', 'F', 2.99], ['F', 'G', 4.99], ['G', 'Z', 2.73]]
Melhor caminho: [['A', 'B', 0.36], ['B', 'F', 2.03], ['F', 'G', 5.1], ['G', 'Z', 3.22]]
Melhor caminho: [['A', 'B', 0.77], ['B', 'F', 3.27], ['F', 'G', 3.75], ['G', 'Z', 3.05]]
