D:\OneDrive\Particular\UFPR\SimulaçãoLogistica\TP01\TP01Final\venv\Scripts\python.exe D:/OneDrive/Particular/UFPR/SimulaçãoLogistica/TP01/TP01Final/main.py
Melhor caminho: [['A', 'B', 0.49], ['B', 'F', 4.07], ['F', 'G', 4.7], ['G', 'Z', 2.74]]
Melhor caminho: [['A', 'B', 1.65], ['B', 'F', 2.84], ['F', 'G', 5.12], ['G', 'Z', 3.98]]
Melhor caminho: [['A', 'B', 1.19], ['B', 'F', 3.85], ['F', 'G', 5.44], ['G', 'Z', 2.74]]
Melhor caminho: [['A', 'B', 1.64], ['B', 'F', 2.09], ['F', 'G', 3.92], ['G', 'Z', 2.31]]
Melhor caminho: [['A', 'C', 5.75], ['C', 'I', 5.71], ['I', 'L', 1.05], ['L', 'Z', 2.35]]
Melhor caminho: [['A', 'B', 0.27], ['B', 'F', 3.55], ['F', 'G', 2.18], ['G', 'Z', 3.0]]
Melhor caminho: [['A', 'B', 1.57], ['B', 'F', 3.83], ['F', 'G', 3.93], ['G', 'Z', 3.68]]
Melhor caminho: [['A', 'B', 1.3], ['B', 'F', 2.24], ['F', 'G', 5.49], ['G', 'Z', 2.99]]
Melhor caminho: [['A', 'C', 5.7], ['C', 'I', 3.82], ['I', 'L', 1.61], ['L', 'Z', 1.06]]
Melhor caminho: [['A', 'B', 1.88], ['B', 'F', 3.62], ['F', 'G', 5.45], ['G', 'Z', 2.16]]
Melhor caminho: [['A', 'B', 0.89], ['B', 'F', 2.56], ['F', 'G', 4.7], ['G', 'Z', 3.42]]
Melhor caminho: [['A', 'B', 1.67], ['B', 'F', 4.96], ['F', 'G', 4.85], ['G', 'Z', 3.51]]
Melhor caminho: [['A', 'B', 1.26], ['B', 'F', 2.35], ['F', 'G', 4.82], ['G', 'Z', 2.73]]
Melhor caminho: [['A', 'B', 0.24], ['B', 'F', 2.05], ['F', 'G', 5.44], ['G', 'Z', 3.88]]
Melhor caminho: [['A', 'B', 0.5], ['B', 'F', 5.4], ['F', 'G', 3.45], ['G', 'Z', 2.13]]
Melhor caminho: [['A', 'B', 0.64], ['B', 'F', 4.39], ['F', 'G', 6.18], ['G', 'Z', 3.47]]
Melhor caminho: [['A', 'C', 5.73], ['C', 'D', 2.38], ['D', 'H', 2.94], ['H', 'J', 3.88], ['J', 'Z', 1.69]]
Melhor caminho: [['A', 'B', 1.02], ['B', 'F', 4.96], ['F', 'G', 5.0], ['G', 'Z', 3.19]]
Melhor caminho: [['A', 'C', 6.46], ['C', 'I', 2.99], ['I', 'L', 1.57], ['L', 'Z', 1.45]]
Melhor caminho: [['A', 'B', 1.04], ['B', 'F', 2.11], ['F', 'G', 3.2], ['G', 'Z', 3.61]]
Melhor caminho: [['A', 'B', 1.78], ['B', 'F', 2.46], ['F', 'G', 5.27], ['G', 'Z', 2.68]]
Melhor caminho: [['A', 'B', 0.03], ['B', 'F', 3.83], ['F', 'G', 2.57], ['G', 'Z', 2.43]]
Melhor caminho: [['A', 'B', 0.79], ['B', 'F', 3.86], ['F', 'G', 5.36], ['G', 'Z', 2.89]]
Melhor caminho: [['A', 'B', 0.46], ['B', 'F', 4.23], ['F', 'G', 4.44], ['G', 'Z', 2.02]]
Melhor caminho: [['A', 'B', 1.05], ['B', 'F', 4.86], ['F', 'G', 5.75], ['G', 'Z', 2.27]]
Melhor caminho: [['A', 'B', 1.2], ['B', 'F', 2.94], ['F', 'G', 4.13], ['G', 'Z', 3.86]]
Melhor caminho: [['A', 'B', 0.87], ['B', 'F', 4.08], ['F', 'G', 3.71], ['G', 'Z', 3.68]]
Melhor caminho: [['A', 'B', 0.42], ['B', 'F', 2.36], ['F', 'G', 4.81], ['G', 'Z', 2.21]]
Melhor caminho: [['A', 'B', 0.04], ['B', 'F', 3.31], ['F', 'G', 3.72], ['G', 'Z', 2.91]]
Melhor caminho: [['A', 'B', 1.09], ['B', 'F', 4.94], ['F', 'G', 3.92], ['G', 'Z', 2.57]]
Melhor caminho: [['A', 'B', 1.2], ['B', 'F', 4.82], ['F', 'G', 4.77], ['G', 'Z', 3.56]]
Melhor caminho: [['A', 'B', 1.25], ['B', 'F', 4.96], ['F', 'G', 4.98], ['G', 'Z', 2.79]]
Melhor caminho: [['A', 'B', 0.52], ['B', 'F', 5.13], ['F', 'G', 5.98], ['G', 'Z', 2.72]]
Melhor caminho: [['A', 'C', 5.09], ['C', 'D', 1.45], ['D', 'K', 2.67], ['K', 'L', 2.0], ['L', 'Z', 1.48]]
Melhor caminho: [['A', 'B', 1.91], ['B', 'F', 5.27], ['F', 'G', 3.36], ['G', 'Z', 2.37]]
Melhor caminho: [['A', 'B', 0.51], ['B', 'F', 2.55], ['F', 'G', 4.0], ['G', 'Z', 2.2]]
Melhor caminho: [['A', 'B', 0.79], ['B', 'F', 3.94], ['F', 'G', 4.48], ['G', 'Z', 2.43]]
Melhor caminho: [['A', 'B', 0.52], ['B', 'F', 3.65], ['F', 'G', 4.99], ['G', 'Z', 2.94]]
Melhor caminho: [['A', 'C', 5.66], ['C', 'I', 4.53], ['I', 'L', 1.86], ['L', 'Z', 1.33]]
Melhor caminho: [['A', 'B', 0.95], ['B', 'F', 2.39], ['F', 'G', 5.23], ['G', 'Z', 2.32]]
Melhor caminho: [['A', 'B', 0.14], ['B', 'F', 4.32], ['F', 'G', 5.8], ['G', 'Z', 3.84]]
Melhor caminho: [['A', 'B', 0.33], ['B', 'F', 2.4], ['F', 'G', 4.55], ['G', 'Z', 3.34]]
Melhor caminho: [['A', 'B', 0.8], ['B', 'F', 3.47], ['F', 'G', 5.82], ['G', 'Z', 2.66]]
Melhor caminho: [['A', 'B', 0.53], ['B', 'F', 2.84], ['F', 'G', 4.55], ['G', 'Z', 2.04]]
Melhor caminho: [['A', 'B', 0.74], ['B', 'F', 4.55], ['F', 'G', 4.79], ['G', 'Z', 3.26]]
Melhor caminho: [['A', 'B', 1.23], ['B', 'F', 2.61], ['F', 'G', 4.55], ['G', 'Z', 2.4]]
Melhor caminho: [['A', 'C', 4.7], ['C', 'D', 1.26], ['D', 'H', 3.82], ['H', 'J', 2.1], ['J', 'Z', 1.91]]
Melhor caminho: [['A', 'B', 0.17], ['B', 'F', 3.14], ['F', 'G', 5.07], ['G', 'Z', 3.33]]
Melhor caminho: [['A', 'B', 0.55], ['B', 'F', 4.55], ['F', 'G', 3.71], ['G', 'Z', 2.09]]
Melhor caminho: [['A', 'C', 5.36], ['C', 'I', 3.86], ['I', 'L', 2.01], ['L', 'Z', 1.63]]
Melhor caminho: [['A', 'B', 1.1], ['B', 'F', 5.77], ['F', 'G', 5.66], ['G', 'Z', 2.26]]
Melhor caminho: [['A', 'B', 0.84], ['B', 'F', 5.74], ['F', 'G', 5.19], ['G', 'Z', 3.64]]
Melhor caminho: [['A', 'C', 5.8], ['C', 'I', 2.46], ['I', 'L', 1.83], ['L', 'Z', 2.32]]
Melhor caminho: [['A', 'B', 0.12], ['B', 'F', 5.72], ['F', 'G', 6.16], ['G', 'Z', 2.78]]
Melhor caminho: [['A', 'B', 0.77], ['B', 'F', 2.45], ['F', 'G', 4.95], ['G', 'Z', 3.78]]
Melhor caminho: [['A', 'B', 1.45], ['B', 'F', 4.87], ['F', 'G', 6.55], ['G', 'Z', 2.94]]
Melhor caminho: [['A', 'B', 1.57], ['B', 'F', 3.8], ['F', 'G', 5.49], ['G', 'Z', 3.36]]
Melhor caminho: [['A', 'E', 3.08], ['E', 'F', 2.91], ['F', 'G', 5.82], ['G', 'Z', 3.61]]
Melhor caminho: [['A', 'B', 0.72], ['B', 'F', 5.94], ['F', 'G', 4.55], ['G', 'Z', 2.41]]
Melhor caminho: [['A', 'C', 5.93], ['C', 'I', 4.03], ['I', 'L', 1.22], ['L', 'Z', 2.05]]
Melhor caminho: [['A', 'B', 1.84], ['B', 'F', 5.55], ['F', 'G', 4.13], ['G', 'Z', 2.19]]
Melhor caminho: [['A', 'B', 1.58], ['B', 'F', 4.29], ['F', 'G', 4.97], ['G', 'Z', 3.4]]
Melhor caminho: [['A', 'B', 0.14], ['B', 'F', 2.49], ['F', 'G', 4.86], ['G', 'Z', 2.51]]
Melhor caminho: [['A', 'C', 4.92], ['C', 'I', 5.72], ['I', 'L', 2.82], ['L', 'Z', 2.86]]
Melhor caminho: [['A', 'B', 0.31], ['B', 'F', 2.73], ['F', 'G', 6.87], ['G', 'Z', 2.49]]
Melhor caminho: [['A', 'B', 1.12], ['B', 'F', 5.95], ['F', 'G', 6.12], ['G', 'Z', 2.49]]
Melhor caminho: [['A', 'E', 2.46], ['E', 'H', 3.93], ['H', 'J', 3.73], ['J', 'Z', 1.53]]
Melhor caminho: [['A', 'B', 1.95], ['B', 'F', 2.81], ['F', 'G', 5.76], ['G', 'Z', 3.97]]
Melhor caminho: [['A', 'B', 0.76], ['B', 'F', 2.88], ['F', 'G', 4.31], ['G', 'Z', 2.74]]
Melhor caminho: [['A', 'B', 0.86], ['B', 'F', 3.55], ['F', 'G', 3.96], ['G', 'Z', 3.41]]
Melhor caminho: [['A', 'B', 1.51], ['B', 'F', 2.6], ['F', 'G', 5.37], ['G', 'Z', 3.17]]
Melhor caminho: [['A', 'B', 0.86], ['B', 'F', 3.98], ['F', 'G', 5.45], ['G', 'Z', 3.12]]
Melhor caminho: [['A', 'B', 0.36], ['B', 'F', 4.81], ['F', 'G', 2.88], ['G', 'Z', 3.55]]
Melhor caminho: [['A', 'B', 0.13], ['B', 'F', 4.98], ['F', 'G', 5.17], ['G', 'Z', 2.3]]
Melhor caminho: [['A', 'B', 1.59], ['B', 'F', 4.46], ['F', 'G', 5.81], ['G', 'Z', 2.81]]
Melhor caminho: [['A', 'B', 0.28], ['B', 'F', 4.55], ['F', 'G', 3.37], ['G', 'Z', 2.28]]
Melhor caminho: [['A', 'B', 0.57], ['B', 'F', 2.81], ['F', 'G', 5.68], ['G', 'Z', 2.86]]
Melhor caminho: [['A', 'C', 5.81], ['C', 'I', 5.46], ['I', 'L', 2.43], ['L', 'Z', 1.0]]
Melhor caminho: [['A', 'C', 6.12], ['C', 'I', 3.74], ['I', 'L', 2.19], ['L', 'Z', 2.77]]
Melhor caminho: [['A', 'B', 1.72], ['B', 'F', 2.86], ['F', 'G', 4.48], ['G', 'Z', 2.26]]
Melhor caminho: [['A', 'B', 0.96], ['B', 'F', 2.46], ['F', 'G', 7.69], ['G', 'Z', 2.35]]
Melhor caminho: [['A', 'E', 2.18], ['E', 'F', 2.02], ['F', 'G', 5.09], ['G', 'Z', 3.66]]
Melhor caminho: [['A', 'E', 2.25], ['E', 'H', 5.21], ['H', 'J', 2.23], ['J', 'Z', 1.89]]
Melhor caminho: [['A', 'B', 0.2], ['B', 'F', 2.46], ['F', 'G', 6.49], ['G', 'Z', 3.19]]
Melhor caminho: [['A', 'B', 0.17], ['B', 'F', 5.29], ['F', 'G', 3.56], ['G', 'Z', 3.03]]
Melhor caminho: [['A', 'E', 2.69], ['E', 'F', 2.54], ['F', 'G', 4.16], ['G', 'Z', 3.59]]
Melhor caminho: [['A', 'B', 1.16], ['B', 'F', 4.56], ['F', 'G', 4.99], ['G', 'Z', 2.81]]
Melhor caminho: [['A', 'B', 0.67], ['B', 'F', 5.01], ['F', 'G', 5.49], ['G', 'Z', 2.33]]
Melhor caminho: [['A', 'B', 1.6], ['B', 'F', 3.63], ['F', 'G', 3.46], ['G', 'Z', 2.9]]
Melhor caminho: [['A', 'B', 1.88], ['B', 'F', 3.07], ['F', 'G', 4.65], ['G', 'Z', 3.96]]
Melhor caminho: [['A', 'C', 4.41], ['C', 'I', 5.55], ['I', 'L', 2.5], ['L', 'Z', 1.55]]
Melhor caminho: [['A', 'E', 2.07], ['E', 'F', 2.0], ['F', 'G', 3.89], ['G', 'Z', 2.13]]
Melhor caminho: [['A', 'B', 0.18], ['B', 'F', 4.04], ['F', 'G', 4.48], ['G', 'Z', 3.28]]
Melhor caminho: [['A', 'B', 1.73], ['B', 'F', 2.4], ['F', 'G', 5.56], ['G', 'Z', 2.37]]
Melhor caminho: [['A', 'B', 1.56], ['B', 'F', 2.37], ['F', 'G', 5.41], ['G', 'Z', 2.95]]
Melhor caminho: [['A', 'C', 4.67], ['C', 'D', 1.35], ['D', 'H', 2.42], ['H', 'J', 2.23], ['J', 'Z', 1.06]]
Melhor caminho: [['A', 'B', 0.75], ['B', 'F', 4.34], ['F', 'G', 4.53], ['G', 'Z', 3.12]]
Melhor caminho: [['A', 'B', 0.28], ['B', 'F', 2.7], ['F', 'G', 5.8], ['G', 'Z', 2.24]]
